LEXEME                    LINE       TOKEN           VALUE           PARENT     IS LEAF? NODE SYMBOL


_computeFunctionValue     6          TK_FUNID        ----            function                       yes   TK_FUNID
----                      ----       ----            ----            otherFunctions                 no    <function>
input                     6          TK_INPUT        ----            input_par                      yes   TK_INPUT
----                      ----       ----            ----            function                       no    <input_par>
parameter                 6          TK_PARAMETER    ----            input_par                      yes   TK_PARAMETER
list                      6          TK_LIST         ----            input_par                      yes   TK_LIST
[                         6          TK_SQL          ----            input_par                      yes   TK_SQL
int                       6          TK_INT          ----            primitiveDatatype              yes   TK_INT
----                      ----       ----            ----            dataType                       no    <primitiveDatatype>
----                      ----       ----            ----            parameter_list                 no    <dataType>
----                      ----       ----            ----            input_par                      no    <parameter_list>
c3                        6          TK_ID           ----            parameter_list                 yes   TK_ID
,                         6          TK_COMMA        ----            remaining_list                 yes   TK_COMMA
----                      ----       ----            ----            parameter_list                 no    <remaining_list>
int                       6          TK_INT          ----            primitiveDatatype              yes   TK_INT
----                      ----       ----            ----            dataType                       no    <primitiveDatatype>
----                      ----       ----            ----            parameter_list                 no    <dataType>
----                      ----       ----            ----            remaining_list                 no    <parameter_list>
c4                        6          TK_ID           ----            parameter_list                 yes   TK_ID
,                         6          TK_COMMA        ----            remaining_list                 yes   TK_COMMA
----                      ----       ----            ----            parameter_list                 no    <remaining_list>
int                       6          TK_INT          ----            primitiveDatatype              yes   TK_INT
----                      ----       ----            ----            dataType                       no    <primitiveDatatype>
----                      ----       ----            ----            parameter_list                 no    <dataType>
----                      ----       ----            ----            remaining_list                 no    <parameter_list>
c5                        6          TK_ID           ----            parameter_list                 yes   TK_ID
----                      ----       ----            ----            parameter_list                 yes   <remaining_list>
]                         6          TK_SQR          ----            input_par                      yes   TK_SQR
output                    7          TK_OUTPUT       ----            output_par                     yes   TK_OUTPUT
----                      ----       ----            ----            function                       no    <output_par>
parameter                 7          TK_PARAMETER    ----            output_par                     yes   TK_PARAMETER
(ERROR)                   (ERROR)    (ERROR)         ----            output_par                     yes   TK_LIST
[                         7          TK_SQL          ----            output_par                     yes   TK_SQL
real                      7          TK_REAL         ----            primitiveDatatype              yes   TK_REAL
----                      ----       ----            ----            dataType                       no    <primitiveDatatype>
----                      ----       ----            ----            parameter_list                 no    <dataType>
----                      ----       ----            ----            output_par                     no    <parameter_list>
c6                        7          TK_ID           ----            parameter_list                 yes   TK_ID
----                      ----       ----            ----            parameter_list                 yes   <remaining_list>
]                         7          TK_SQR          ----            output_par                     yes   TK_SQR
;                         7          TK_SEM          ----            function                       yes   TK_SEM
----                      ----       ----            ----            stmts                          yes   <typeDefinitions>
----                      ----       ----            ----            function                       no    <stmts>
type                      8          TK_TYPE         ----            declaration                    yes   TK_TYPE
----                      ----       ----            ----            declarations                   no    <declaration>
real                      8          TK_REAL         ----            primitiveDatatype              yes   TK_REAL
----                      ----       ----            ----            dataType                       no    <primitiveDatatype>
----                      ----       ----            ----            declaration                    no    <dataType>
:                         8          TK_COLON        ----            declaration                    yes   TK_COLON
----                      ----       ----            ----            declaration                    yes   <global_or_not>
